Lab Code,County,Weight (g),Aflatoxin Level (Kenya-ppb),Aflatoxin Level (USA-ppb),Fumonisin Level (USA-ppb),Log_afla_original,Log_fumo_original, Log_Fusarium_IC,Log_Asper_IC,Afla_Logcontrol,Afla_Log 20,Afla_Log5,Afla_Log10,Fumo_control,Fumo_E5,Fumo_E10,Fumo_E20
IM 105,Embu,100,113.7,183.1366029,4273.281159,2.262775154,3.630761468,0.005488022,0.00060174,#NUM!,#NUM!,-0.193403053,-0.562682247,0.987206579,2.259373939,#NUM!,2.653074426
IM 119,Meru,50,126.9,139.4444159,2941.524381,2.144401127,3.468572452,0.0136228,0.00010462,-0.59443653,0.261103087,1.139310688,-0.13248076,2.550342303,3.049007309,2.711781819,2.908632207
IM 120,Meru,50,118.6,113.8610361,1669.021003,2.056375132,3.222461802,0.016916996,0.000362242,0.406010951,0.509463366,0.476745365,0.715292255,1.714725659,2.612517772,2.520772973,2.864998396
IM 123,Meru,50,134.7,162.3357135,4568.129727,2.210414074,3.659738429,0.108843982,0.003485187,0.910359923,0.44639109,0.884248594,1.128361265,3.159473242,3.294745848,3.107798753,3.18866296
IM 145,Embu,50,120.1,110.9598941,3841.356531,2.045166033,3.584484618,0.115462978,0.000465998,0.273608386,-0.98275765,0.162822744,0.08416652,2.889367193,2.923120909,2.576706558,2.978612029
IM 162,Meru,50,134,128.192453,2238.718943,2.107862458,3.349999574,0.005886379,0.000199488,0.920893233,0.090985475,0.459174722,0.392773923,2.901938288,3.013061596,2.26405401,2.833616361
IM 166,Embu,50,718,305.3101311,5675.602396,2.484741216,3.754011963,0.003789253,,1.602059991,0.188183041,0.493449941,0.648592362,2.687651458,2.602340978,1.991088604,2.484864985
IM 168,Meru,50,138.7,100.1969468,2676.767218,2.000854488,3.427610605,0.065673399,0.000580586,1.02923367,0.112057228,0.639013939,1.773327852,3.327852008,3.552893654,3.298724678,3.168695978
IM 171,Tharaka Nithi,100,807,395.1790505,3930.364217,2.596793913,3.594432797,0.010069121,0.002709927,1.177223278,0.592914384,1.11291498,0.918587478,2.684221645,2.719691069,2.779510165,2.68765141
IM 180,Meru,50,144.6,722.8042992,6746.271843,2.859020727,3.829063837,0.022053893,0.001191608,2.039141052,2.155336037,1.55168575,1.316696456,2.497023607,3.155728737,2.910746725,2.916825493
IM 184,Meru,50,134.7,107.7543162,8220.163205,2.032434675,3.91488044,0.004495261,0.001479046,0.563895197,0.596300496,0.7367933,0.328254445,2.499053342,3.031594784,2.703366133,2.646434477
IM 202,Embu,100,126,184.8345325,2052.894349,2.266783113,3.312366599,0.034775609,0.00042733,0.41131768,0.614575382,0.441510242,0.713582655,3.592824279,3.540586535,3.623428502,3.591191835
IM 233,Embu,50,125,163.4735675,4330.49967,2.21344754,3.63653801,0.084382969,0.000129889,0.999730067,0.625405677,0.849205886,1.0720978,3.873558122,3.828435472,3.699008929,3.735120246
IM 242,Meru,100,108.8,316.8196655,1420.923892,2.500812131,3.152570817,0.001654054,3.66E-05,0.162799057,0.533645448,0.288532331,0.165323993,1.691564046,2.138907851,1.573348437,#NUM!
IM 251,Embu,50,813,251.5360274,4523.506207,2.400600198,3.655475191,0.011858405,0.001069494,1.185590872,1.876018166,1.176744329,1.469027679,2.041392685,2.671304764,2.645502493,1.916491503
IM 252,Embu,100,129.5,161.9491545,3067.500388,2.209378685,3.486784626,0.011630445,8.04E-05,0.41434723,0.467960231,0.844452199,0.527077345,2.281115667,2.071125007,2.684169856,0.611673148
IM 253,Meru,50,106.7,114.2027769,5594.500689,2.057676664,3.747761332,0.05284359,0.001118071,0.470147735,0.067559011,0.614888135,0.379789193,3.46057608,3.320833714,3.293768276,3.045209116
IM 255,Meru,20,146.3,146.3,1624.137787,2.165244326,3.210622871,0.013677545,0.000227753,0.995236708,1.14687891,1.833649501,1.373458569,3.137051662,3.37012647,3.328852146,3.269798526
IM 266,Tharaka Nithi,50,1204,577.5927457,1493.77592,2.76162173,3.174285454,0.058413339,0.002961904,1.544068044,1.084387675,1.269200825,1.534658709,2.948314046,3.028933761,3.267090252,3.11430399
IM 273,Embu,20,144,281.0519496,2085.025444,2.448786602,3.319111359,0.136749051,0.002366317,1.262168894,0.799434007,1.73239376,1.294128493,3.549070579,3.68092807,3.77362916,3.549916952
IM 292,Meru,100,125,117.0063705,1752.231125,2.068209508,3.24359139,0.047308833,0.000726747,0.511564055,0.307771625,0.585371326,0.844287208,3.128136109,3.110694798,3.172369759,3.202980735
IM 299,Meru,50,138.9,201.6144606,2335.265512,2.304521678,3.368336266,0.041317395,0.001102679,0.77463799,0.325402394,0.810945425,0.866967687,2.734276688,2.468594495,2.473000073,2.373341598
IM 305,Tharaka Nithi,50,559,440.6534172,3131.550907,2.644097142,3.495759476,0.045301668,0.003648234,0.938090936,0.679818525,2.469122337,0.82313887,3.01474948,2.825766657,3.035096383,2.889022
IM 328,Embu,20,149.5,133.7877167,8767.63248,2.126416242,3.942882337,0.015157905,0.000155898,1.026718131,0.235912888,1.04315733,0.65022223,2.481543733,2.251069758,2.645502493,3.072761915
