Sample,LogIC-Fusarium,LogIC-Aspergillus
ITS105,-1.05843335,-2.858074251
ITS119,-0.794022822,-3.618117606
ITS120,-0.503838931,-3.078604512
ITS123,0.360427481,-2.093814459
ITS145,0.630382235,-2.969167293
ITS162,-0.769909014,-3.33776693
IM166,-0.483954106,-2.169956171
ITS168,0.462035296,-2.873627782
ITS171,-0.500097924,-2.203471013
ITS180,-0.096437734,-2.561054781
ITS184,-1.067671261,-2.467062974
ITS202,-0.106390719,-3.006806915
ITS233,0.294816695,-3.524147918
ITS242,-1.89466565,-4.074749948
ITS251,-0.711873842,-2.60807121
ITS252,-0.748098809,-3.732539442
ITS253,-0.171257742,-2.588755911
ITS255,-0.849772228,-3.280205463
ITS266,0.086226466,-2.164731553
ITS273,0.555838181,-2.262527743
ITS292,0.753101779,-2.776037458
ITS299,-0.045786568,-2.594783682
ITS305,-0.276343314,-2.073876213
ITS328,-0.808963137,-3.444866454
